DO_Zone,total_trips,total_revenue,total_distance_miles,median_duration_minutes,p95_duration_minutes,median_speed_mph,avg_passengers,trips_per_day
East Chelsea,797639,18593905.6,1849156.32,11.666666666666666,31.966666666666665,8.964363099392967,1.407831111568015,2185.3123287671233
East Concourse/Concourse Village,9136,418120.09,76552.22,26.59166666666667,60.858333333333334,15.551908659390286,1.2919220665499125,25.03013698630137
East Elmhurst,8633,450010.02999999997,81169.31,26.416666666666668,50.26333333333332,21.466832418799836,1.419668713077725,23.65205479452055
East Flatbush/Farragut,6407,337802.04,63910.28,35.65,64.24499999999999,16.52312774847283,1.2647104729202434,17.553424657534247
East Flatbush/Remsen Village,6664,318132.8,61441.71,31.8,67.48749999999995,16.86986515961435,1.2584033613445378,18.257534246575343
East Flushing,1635,88156.0,17529.08,30.633333333333333,55.76,21.128670471820566,1.3571865443425077,4.47945205479452
East Harlem North,210344,4986160.57,654794.68,11.85,31.3,12.943715511514963,1.3202373255239037,576.2849315068493
East Harlem South,373042,8269933.81,955815.9,10.266666666666667,31.916666666666668,10.963375754402549,1.3234836828024727,1022.0328767123287
East New York,13306,528561.14,104512.63,21.466666666666665,68.2625,20.700778700189602,1.2779197354576883,36.45479452054794
East New York/Pennsylvania Avenue,3266,142104.74,27741.5,26.383333333333333,66.85000000000001,18.692224541498145,1.284445805266381,8.947945205479453
East Tremont,2929,149010.09,28980.14,31.666666666666668,67.42999999999999,16.774442388088254,1.2830317514510072,8.024657534246575
East Village,610396,14369460.73,1500318.68,11.783333333333333,29.916666666666668,9.157141834831503,1.3951533103100282,1672.317808219178
East Williamsburg,34658,1594065.56,257941.06,25.2,50.51916666666669,14.900764806386714,1.34736568757574,94.95342465753424
